Expert_ID,Expert_type,Q_ID,Q5th,Q50th,Q95th
104,Expert,QI_151,0.0001,3,6.375
104,Expert,QI_152,0.0001,6,32.30769231
104,Expert,QI_153,4.705882353,10,20.58823529
104,Expert,QI_154,0.0001,5,11.92307692
104,Expert,QI_155,1,10,26.875
104,Expert,QI_156,0.875,20,42.5
104,Expert,QI_157,0.0001,17,50.6
104,Expert,QI_158,0.714285714,20,39.28571429
104,Expert,QI_159,0.0001,3,14.57142857
104,Expert,QI_160,0.714285714,20,45.71428571
104,Expert,QI_161,0.428571429,3,12
105,Expert,CAL_3,520,700,880
105,Expert,CAL_7,243.75,300,356.25
105,Expert,CAL_8,235.7142857,300,364.2857143
105,Expert,CAL_9,235.7142857,300,364.2857143
105,Expert,CAL_11,175,250,475
105,Expert,CAL_13,771.4285714,900,1028.571429
105,Expert,CAL_14,361.5384615,500,707.6923077
105,Expert,CAL_15,885.7142857,950,1142.857143
105,Expert,CAL_16,20,50,80
105,Expert,CAL_17,0.0001,5,10.4
105,Expert,CAL_19,1,10,64
105,Expert,CAL_20,0.042857143,0.3,1.2
105,Expert,CAL_21,2.142857143,15,40.71428571
105,Expert,CAL_25,0.0001,5,17.85714286
105,Expert,CAL_27,28.57142857,35,67.14285714
105,Expert,QI_31,24.28571429,50,62.85714286
105,Expert,QI_32,0.5,2,14
105,Expert,QI_33,0.0001,3,15.6
105,Expert,QI_34,0.0001,1,4.6
105,Expert,QI_35,0.0001,0.5,2.75
105,Expert,QI_36,0.0001,20,35
105,Expert,QI_37,2.5,25,32.5
105,Expert,QI_38,0.0001,1,4.6
105,Expert,QI_39,0.4,4,11.2
105,Expert,QI_40,0.4,4,11.2
105,Expert,QI_41,0.0001,6,13.2
105,Expert,QI_42,1,10,28
105,Expert,QI_43,3.4,7,21.4
105,Expert,QI_44,2.5,10,17.5
105,Expert,QI_45,2,5,12.5
105,Expert,QI_46,2.5,10,25
105,Expert,QI_47,0.875,2,11
105,Expert,QI_48,0.5,5,9.5
105,Expert,QI_49,0.0001,15,52.5
105,Expert,QI_50,12,30,84
105,Expert,QI_51,0.0001,30,60
105,Expert,QI_52,2.5,4,20.5
105,Expert,QI_53,2.75,5,27.5
105,Expert,QI_54,0.0001,3,6.6
105,Expert,QI_55,0.0001,0.3,2.46
105,Expert,QI_56,0.0001,30,84
105,Expert,QI_57,3,30,57
105,Expert,QI_58,0.0001,1.5,6
105,Expert,QI_59,0.714285714,2,5.857142857
